,date,Month,E01Temp,E02Temp,E03Temp,E04Temp,E05Temp,E06Temp,E07Temp,E08Temp,E09Temp
172,21/06/2017,June,18.1397378,16.32929357,15.34225527,18.43670876,18.05236227,17.45490815,19.72582771,18.48543501,19.35563341
173,22/06/2017,June,15.65299134,17.02465142,16.58674759,17.30046684,17.34309605,17.11862675,17.40049883,16.47567389,15.72808519
174,23/06/2017,June,13.67962469,16.03955873,15.67060655,15.58585764,15.09458696,14.56263141,15.20703028,14.2044911,14.0361302
175,24/06/2017,June,12.53591228,13.89320256,13.34044398,15.12039215,15.40059583,15.20207113,15.66750092,14.47305448,14.5804175
176,25/06/2017,June,12.15854254,14.23729965,13.72862069,14.6450413,14.99550221,14.76577939,14.4422801,13.51584394,12.73869669
177,26/06/2017,June,10.79989108,10.88875661,10.71255269,12.25699785,11.88239596,11.71628855,12.85174548,11.68582875,12.29488047
178,27/06/2017,June,10.74893011,11.59623817,10.92492277,11.87922951,12.03410616,11.76267159,13.03650231,11.85654705,12.07429197
179,28/06/2017,June,10.76307418,11.82776673,11.23361994,11.65764603,11.37320555,11.19141883,11.9426552,10.72780425,10.54130136
180,29/06/2017,June,10.77791682,11.70671925,11.1663457,12.31638514,12.30973086,12.26383917,12.85666725,11.75032422,11.37863593
181,30/06/2017,June,12.88008235,14.15242494,13.52660687,14.581019,14.43719711,14.22668863,14.91455337,13.85858362,13.2350109
182,01/07/2017,July,13.60115422,15.10055334,14.86023156,15.64086748,15.69703799,15.64586519,15.6907563,14.79594825,14.67031563
183,02/07/2017,July,12.27223014,13.66722775,13.34641577,14.48296962,14.30719744,14.13475322,14.40401241,13.31251056,13.47498143
184,03/07/2017,July,13.64471768,15.29551497,14.79524494,15.72076022,15.18977822,14.82443612,15.3385661,14.18442316,14.52560043
185,04/07/2017,July,11.58181144,11.55710625,11.23361058,13.31686833,13.36533394,13.89726957,14.59917652,13.7455892,13.86430267
186,05/07/2017,July,13.27556141,12.71881522,12.30524341,13.43260519,14.13787696,14.85353905,15.49893054,14.4384385,15.28646396
187,06/07/2017,July,16.3987661,16.29021675,15.85290818,17.81412691,18.23660649,18.48880454,19.54911161,18.57691064,18.84709889
188,07/07/2017,July,15.21998235,16.71437379,16.56454137,17.08779457,16.86766039,17.25701797,17.23622722,16.16539919,16.68728821
189,08/07/2017,July,11.60119095,13.104997,12.28774658,13.7154065,14.14180036,14.53826919,14.06529812,13.2235593,13.19967319
190,09/07/2017,July,13.32947975,14.80854211,13.91629175,15.13928603,16.10202794,16.58507455,16.40683171,15.61260357,16.77569294
191,10/07/2017,July,14.26032397,14.72677469,14.45324277,15.66663516,15.14063944,15.17452839,15.52084419,14.58100535,14.40408776
192,11/07/2017,July,12.5693587,12.75901853,12.12644453,13.18399803,12.51570754,12.42223638,13.31372028,12.12259926,11.93122931
193,12/07/2017,July,12.96222968,12.94960805,12.64500444,14.19996678,14.11587192,14.04491338,15.15296183,14.07130368,14.40095353
194,13/07/2017,July,12.90276173,15.1869864,14.04193196,14.84811304,15.47768679,15.28124016,15.49786405,14.61123419,15.03388536
195,14/07/2017,July,13.33335376,15.73398192,15.17882207,15.15764547,15.02107213,15.04659156,14.98435637,14.13059191,13.52702012
196,15/07/2017,July,14.97037892,16.96209458,16.287895,16.27857089,15.90268227,15.81973428,16.60111201,15.47751446,15.57632085
197,16/07/2017,July,14.38656264,15.82441135,15.28256483,16.99558616,17.56649059,17.83833085,17.71047706,16.69535336,16.18899705
198,17/07/2017,July,14.66154727,17.45622995,17.0972313,16.98267115,16.84803773,16.90775511,16.95901674,15.95857907,16.45152423
199,18/07/2017,July,15.91290159,15.36780254,14.6942133,16.91441351,16.05420145,15.86754274,17.38330732,16.32197287,17.01322597
200,19/07/2017,July,15.83731966,16.43481598,15.76695995,16.87921163,17.70184609,18.05226428,18.81131817,17.7436394,17.97548255
201,20/07/2017,July,13.11984744,15.38270254,14.7141237,15.38963833,15.32482486,15.46972053,15.21750624,14.19010508,14.035524
202,21/07/2017,July,13.44678467,13.28180946,12.30450895,13.66490054,14.05490751,14.43372715,14.82021533,13.95044781,14.0659267
203,22/07/2017,July,14.71115534,14.66550496,14.25496794,16.80865016,17.02904196,16.98009761,17.03001014,16.08877512,15.82712675
204,23/07/2017,July,13.53892967,13.56455201,12.88656709,14.25641458,13.75148173,14.00147539,14.57583927,13.65973934,13.2757172
205,24/07/2017,July,15.09663156,13.94398178,13.56254989,14.34516742,13.43533734,13.52652872,15.8304086,14.38350591,14.92136937
206,25/07/2017,July,13.8420059,13.84622513,13.38425892,15.14361377,14.81229898,14.67992332,15.4937706,14.83192164,13.81373245
207,26/07/2017,July,14.33274296,15.81768656,15.19857924,15.9461197,15.4969771,15.42591475,16.37502977,15.36071095,15.17660686
208,27/07/2017,July,12.51426959,13.46085365,13.12044529,14.0662482,13.5851689,13.4698917,14.53451644,13.2081381,13.23441187
